Country,Region,Income group,Year joined
Afghanistan,South Asia,Low income,2013
Albania,Europe & Central Asia,Upper middle income,2017
Algeria,Middle East & North Africa,Upper middle income,2018
Angola,Sub-Saharan Africa,Lower middle income,2018
Antigua and Barbuda,Latin America & Caribbean,High income,2018
Argentina,Latin America & Caribbean,Upper middle income,2022
Armenia,Europe & Central Asia,Upper middle income,2015
Austria,Europe & Central Asia,High income,Unknown
Azerbaijan,Europe & Central Asia,Upper middle income,2015
Bahrain,Middle East & North Africa,High income,2018
Bangladesh,South Asia,Lower middle income,2019
Barbados,Latin America & Caribbean,High income,2019
Belarus,Europe & Central Asia,Upper middle income,2013
Benin,Sub-Saharan Africa,Low income,Unknown
Bolivia,Latin America & Caribbean,Lower middle income,2018
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2017
Botswana,Sub-Saharan Africa,Upper middle income,2021
Brunei,East Asia & Pacific,High income,2018
Bulgaria,Europe & Central Asia,Upper middle income,2015
Burundi,Sub-Saharan Africa,Low income,2018
Cambodia,East Asia & Pacific,Lower middle income,2013
Cameroon,Sub-Saharan Africa,Lower middle income,2015
Cape Verde,Sub-Saharan Africa,Lower middle income,2018
Chad,Sub-Saharan Africa,Low income,2018
Chile,Latin America & Caribbean,High income,2018
China,East Asia & Pacific,Upper middle income,2013
Comoros,Sub-Saharan Africa,Low income,Unknown
Congo,Sub-Saharan Africa,Lower middle income,Unknown
Cook Islands,East Asia & Pacific,Upper middle income,2018
Costa Rica,Latin America & Caribbean,Upper middle income,2018
Croatia,Europe & Central Asia,High income,2017
Cuba,Latin America & Caribbean,Upper middle income,2019
Cyprus,Europe & Central Asia,High income,2019
Czech Republic,Europe & Central Asia,High income,2015
Democratic Republic of Congo,Sub-Saharan Africa,Low income,2021
Djibouti,Middle East & North Africa,Lower middle income,2018
Dominica,Latin America & Caribbean,Upper middle income,Unknown
East Timor,East Asia & Pacific,Lower middle income,2017
Ecuador,Latin America & Caribbean,Upper middle income,2018
Egypt,Middle East & North Africa,Lower middle income,2016
El Salvador,Latin America & Caribbean,Lower middle income,2018
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,2019
Eritrea,Sub-Saharan Africa,Low income,2021
Estonia,Europe & Central Asia,High income,2017
Ethiopia,Sub-Saharan Africa,Low income,2018
Fiji,East Asia & Pacific,Upper middle income,2018
Gabon,Sub-Saharan Africa,Upper middle income,2018
Gambia,Sub-Saharan Africa,Low income,2018
Georgia,Europe & Central Asia,Lower middle income,2016
Ghana,Sub-Saharan Africa,Lower middle income,2018
Greece,Europe & Central Asia,High income,2018
Grenada,Latin America & Caribbean,Upper middle income,2018
Guinea,Sub-Saharan Africa,Low income,2018
Guinea-Bissau,Sub-Saharan Africa,Low income,2021
Guyana,Latin America & Caribbean,Upper middle income,2018
Hungary,Europe & Central Asia,High income,2015
Indonesia,East Asia & Pacific,Lower middle income,2015
Iran,Middle East & North Africa,Upper middle income,2018
Iraq,Middle East & North Africa,Upper middle income,2015
Italy,Europe & Central Asia,High income,2019
Ivory Coast,Sub-Saharan Africa,Lower middle income,2017
Jamaica,Latin America & Caribbean,Upper middle income,2019
Kazakhstan,Europe & Central Asia,Upper middle income,2015
Kenya,Sub-Saharan Africa,Lower middle income,2017
Kiribati,East Asia & Pacific,Lower middle income,2020
Kuwait,Middle East & North Africa,High income,2018
Kyrgyzstan,Europe & Central Asia,Lower middle income,2013
Laos,East Asia & Pacific,Lower middle income,2018
Latvia,Europe & Central Asia,High income,2016
Lebanon,Middle East & North Africa,Upper middle income,2017
Lesotho,Sub-Saharan Africa,Lower middle income,2019
Liberia,Sub-Saharan Africa,Low income,2019
Libya,Middle East & North Africa,Upper middle income,2018
Lithuania,Europe & Central Asia,High income,2017
Luxembourg,Europe & Central Asia,High income,2019
Macedonia,Europe & Central Asia,Upper middle income,2013
Madagascar,Sub-Saharan Africa,Low income,2017
Malawi,Sub-Saharan Africa,Low income,2022
Malaysia,East Asia & Pacific,Upper middle income,2017
Maldives,South Asia,Upper middle income,2017
Mali,Sub-Saharan Africa,Low income,2019
Malta,Middle East & North Africa,High income,2018
Mauritania,Sub-Saharan Africa,Lower middle income,2018
Micronesia,East Asia & Pacific,Lower middle income,2018
Moldova,Europe & Central Asia,Lower middle income,2013
Mongolia,East Asia & Pacific,Lower middle income,2013
Montenegro,Europe & Central Asia,Upper middle income,2017
Morocco,Middle East & North Africa,Lower middle income,2017
Mozambique,Sub-Saharan Africa,Low income,2018
Myanmar,East Asia & Pacific,Lower middle income,2016
Namibia,Sub-Saharan Africa,Upper middle income,2018
Nepal,South Asia,Low income,2017
New Zealand,East Asia & Pacific,High income,2017
Nicaragua,Latin America & Caribbean,Lower middle income,2022
Niger,Sub-Saharan Africa,Low income,Unknown
Nigeria,Sub-Saharan Africa,Lower middle income,2018
Niue,East Asia & Pacific,Upper middle income,2018
Oman,Middle East & North Africa,High income,2018
Pakistan,South Asia,Lower middle income,2013
Panama,Latin America & Caribbean,High income,2017
Papua New Guinea,East Asia & Pacific,Lower middle income,2016
Peru,Latin America & Caribbean,Upper middle income,2019
Philippines,East Asia & Pacific,Lower middle income,2017
Poland,Europe & Central Asia,High income,2015
Portugal,Europe & Central Asia,High income,2018
Qatar,Middle East & North Africa,High income,2019
Romania,Europe & Central Asia,Upper middle income,2015
Russia,Europe & Central Asia,Upper middle income,Unknown
Rwanda,Sub-Saharan Africa,Low income,2018
Samoa,East Asia & Pacific,Upper middle income,2018
Saudi Arabia,Middle East & North Africa,High income,2018
Senegal,Sub-Saharan Africa,Low income,2018
Serbia,Europe & Central Asia,Upper middle income,2015
Seychelles,Sub-Saharan Africa,High income,2018
Sierra Leone,Sub-Saharan Africa,Low income,2018
Singapore,East Asia & Pacific,High income,2018
Slovakia,Europe & Central Asia,High income,2015
Slovenia,Europe & Central Asia,High income,2017
Solomon Islands,East Asia & Pacific,Lower middle income,2019
Somalia,Sub-Saharan Africa,Low income,2015
