Year,Location,Country,Region,Type,Amount,Lender,Description
2020,"Muzaffarabad, Azad Jammu & Kashmir",Pakistan,South Asia,Hydropower,$2.4B,CDB,Kohala Hydropower Project
2020,"Thar, Sindh",Pakistan,South Asia,Coal,$1.9B,ICBC,SSRL Thar Coal Block-I 6.8 mtpa & Power Plant(2×660MW) (Shanghai Electric)
2020,Preah Sihanouk,Cambodia,Southeast Asia,Coal,$600M,Chinese banks (China); Royal Group (Cambodia),Sihanoukville CIIDG Power Station 2
2019,"Matiari, Sindh to Lahore, Punjab",Pakistan,South Asia,Power Transmission Line,$1.7B,Private sector investors (but built and operated by Chinese development companies).,Matiari to Lahore ±660kV HVDC Transmission Line Project
2019,Adana province,Turkey,Europe/Central Asia,Coal,$1.4B,CDB,"Hunutlu Thermal Power Plant Project with ICBC, BOC"
2019,Kaduna State,Nigeria,Africa,Hydropower,$1.0B,Ex-Im Bank,Gurara II hydropower project
2019,Bắc Giang,Vietnam,Southeast Asia,Coal,$980M,CDB,An Khanh - Bac Giang (Nhà máy Nhiệt điện An Khánh - Bắc Giang)
2019,Moyen-Bafing National Park,Guinea,Africa,Hydropower,$810M,Ex-Im Bank,294 MW Koukoutamba hydro project
2019,Nam Ou River,Laos,Southeast Asia,Hydropower,$100M,CDB,"Nam Ou Dams Phas 2 (1, 3, 4, 7)"
2018,,South Africa,Africa,Coal,$2.5B,CDB,Kusile Power Plant
2018,"Konkoure River, 135km from Conakry",Guinea,Africa,Hydropower,$1.2B,Ex-Im Bank,Souapiti Hydro Project
2018,Hambantota Port,Sri Lanka,South Asia,Gas/LNG,$1.0B,Ex-Im Bank,Hambantota Natural Gas-Powered Electrical Station
2018,Kashkadarya Region,Uzbekistan,Europe/Central Asia,Gas/LNG,$1.0B,CDB,Gas-to-Liquid Plant with Various Foreign Banks
2018,Bolikhamxai,Laos,Southeast Asia,Hydropower,$1.0B,Power Construction Corp (China),Nam Theun 1 Dam
2018,"Hwange, Hwange District, Matabeleland North Province",Zimbabwe,Africa,Coal,$1.0B,Ex-Im Bank,Hwange Thermal Power Station Expansion (Unit 7-8)
2018,"Gwadar, Balochistan",Pakistan,South Asia,Coal,$540M,"China Communication Construction Group, Tianjin Energy Group","300MW Imported Coal Based Power Project at Gwadar, Pakistan"
2018,Delta Region,Nigeria,Africa,Gas/LNG,$500M,Ex-Im Bank,Modular Refinery Flare Gas Recovery Programme
2018,"Thar, Sindh",Pakistan,South Asia,Coal,$500M,CDB,"330MW mine-mouth lignite-fired power plant with Habib Bank Limited, and Fauji Fertiliser Company (FFC), along with other equity partners including Hub Power Company (Hubco)"
2018,"Nam tha River, tributary on the left bank of the Mekong River in Bokeo Province",Laos,Southeast Asia,Hydropower,$400M,Ex-Im Bank,Nam Tha 1 Hydro Power Project
2018,Ikopa River,Madagascar,Africa,Hydropower,$200M,Ex-Im Bank,Ranomafana Hydropower Plant on Ikopa River 86MW
2018,"Thalpitigala Reservoir, Uma Oya",Sri Lanka,South Asia,Hydropower,$150M,Ex-Im Bank,Thalpitigala Resovoir Dam
2018,Unspecified,Lesotho,Africa,Solar,$70M,Ex-Im Bank,Neo2 70 MW solar PV plant
2017,"Mambilla Plateau, Tabara State",Nigeria,Africa,Hydropower,$4.9B,Ex-Im Bank,Mambilla Hydroelectric Plant Co-financed with the Government of Nigeria
2017,"Duyên Hải District, Trà Vinh Province",Vietnam,Southeast Asia,Coal,$1.8B,Ex-Im Bank,Duyen Hai 2 Thermal Power Plant
2017,Xayaburi province,Laos,Southeast Asia,Hydropower,$1.7B,Ex-Im Bank,Pak Lay Dam
2017,Medupi,South Africa,Africa,Coal,$1.5B,CDB,Medupi Coal Power Plant (6*794MW)
2017,"Hub Tehsil, Lasbela District, Balochistan Province",Pakistan,South Asia,Coal,$1.5B,CDB-Ex-Im Cofinancing,Hubco Coal Power Plant Co-Financed by Consortium
2017,"Mansehra District, Khyber Pakhtunkhwa",Pakistan,South Asia,Hydropower,$1.4B,Ex-Im Bank,Suki Kinari Hydropower Project with ICBC
2017,Jhelum River,Pakistan,South Asia,Hydropower,$1.3B,CDB-Ex-Im Cofinancing,Karot Run-of-River Hydropower Project with Silk Road Fund and IFC
